Ref,Val,Package,PosX,PosY,Rot,Side
"L1","WS2812_LED","WS2812B",-130.200000,10.150000,0.000000,bottom
"L2","WS2812_LED","WS2812B",-78.700000,10.650000,0.000000,bottom
"L3","WS2812_LED","WS2812B",-46.130000,2.660000,0.000000,bottom
"L4","WS2812_LED","WS2812B",-25.590000,-20.600000,0.000000,bottom
"L5","WS2812_LED","WS2812B",-25.280000,-56.640000,0.000000,bottom
"L6","WS2812_LED","WS2812B",-10.140000,-79.060000,350.000000,bottom
"L7","WS2812_LED","WS2812B",-21.770000,-96.950000,350.000000,bottom
"L8","WS2812_LED","WS2812B",-55.490000,-90.750000,350.000000,bottom
"L33","WS2812_LED","WS2812B",-116.930000,-71.360000,0.000000,bottom
"L34","WS2812_LED","WS2812B",-156.300000,-47.250000,0.000000,bottom
"L35","WS2812_LED","WS2812B",-156.040000,-5.940000,0.000000,bottom
